[2019-09-01 23:25:11,592] - Logger.py - INFO: ------------------------------
[2019-09-01 23:27:33,566] - Logger.py - INFO: ['{\'newsTypeName\': "今日热点"}', '{\'newsTypeName\': "经济快讯4"}']
[2019-09-01 23:27:33,652] - Logger.py - INFO: 开始执行【获取列表111】脚本
[2019-09-01 23:27:34,008] - Logger.py - INFO: 调用【 get 】方式
[2019-09-01 23:27:34,030] - Logger.py - INFO: 获取返回信息status_code【200】
[2019-09-01 23:27:34,038] - Logger.py - INFO: 成功获取接口返回信息json_data
[2019-09-01 23:27:34,046] - Logger.py - INFO: 1.0.获取列表111:状态测试成功
[2019-09-01 23:27:34,052] - Logger.py - INFO: 2
[2019-09-01 23:27:34,063] - Logger.py - INFO: 1.0.获取列表111:返回的字段[newsTypeName]验证OK
[2019-09-01 23:27:34,071] - Logger.py - INFO: 结束【获取列表111】脚本测试
[2019-09-01 23:27:34,080] - Logger.py - INFO: ******************************
[2019-09-01 23:27:34,087] - Logger.py - INFO: 开始执行【获取列表222】脚本
[2019-09-01 23:27:34,401] - Logger.py - INFO: 调用【 get 】方式
[2019-09-01 23:27:34,427] - Logger.py - INFO: 获取返回信息status_code【200】
[2019-09-01 23:27:34,449] - Logger.py - INFO: 成功获取接口返回信息json_data
[2019-09-01 23:27:34,469] - Logger.py - INFO: 2.0.获取列表222:状态测试成功
[2019-09-01 23:27:34,484] - Logger.py - INFO: 2
[2019-09-01 23:27:34,492] - Logger.py - INFO: 2.0.获取列表222:返回的字段[newsTypeName]验证OK
[2019-09-01 23:27:34,500] - Logger.py - INFO: 结束【获取列表222】脚本测试
[2019-09-01 23:27:34,507] - Logger.py - INFO: ******************************
[2019-09-01 23:27:34,514] - Logger.py - INFO: 测试结束
[2019-09-01 23:27:34,524] - Logger.py - INFO: ------------------------------
[2019-09-01 23:34:10,044] - Logger.py - INFO: ['{\'newsTypeName\': "今日热点"}', '{\'newsTypeName\': "经济快讯4"}']
[2019-09-01 23:34:10,122] - Logger.py - INFO: 开始执行【获取列表111】脚本
[2019-09-01 23:34:10,507] - Logger.py - INFO: 调用【 get 】方式
[2019-09-01 23:34:10,522] - Logger.py - INFO: 获取返回信息status_code【200】
[2019-09-01 23:34:10,527] - Logger.py - INFO: 成功获取接口返回信息json_data
[2019-09-01 23:34:10,546] - Logger.py - INFO: 1.0.获取列表111:状态测试成功
[2019-09-01 23:34:10,546] - Logger.py - INFO: 2
[2019-09-01 23:34:10,565] - Logger.py - INFO: 1.0.获取列表111:返回的字段[newsTypeName]验证OK
[2019-09-01 23:34:10,584] - Logger.py - INFO: 结束【获取列表111】脚本测试
[2019-09-01 23:34:10,597] - Logger.py - INFO: ******************************
[2019-09-01 23:34:10,604] - Logger.py - INFO: 开始执行【获取列表222】脚本
[2019-09-01 23:34:10,932] - Logger.py - INFO: 调用【 get 】方式
[2019-09-01 23:34:10,947] - Logger.py - INFO: 获取返回信息status_code【200】
